,state_names,district_names,crop_year,season_names,crop_names,area,temperature,wind_speed,pressure,humidity,soil_type,N,P,K,production,Yield
125191,Maharashtra,AHMEDNAGAR,1997,Autumn     ,Maize,1.0,20.770894327714288,2.0682599613325947,1014.8637959035344,21.94714705913348,loamy,56.07,0.0,0.0,1113.0,1113.0
125192,Maharashtra,AHMEDNAGAR,1997,Kharif     ,Arhar/Tur,17600.0,20.1604258915886,1.9764799324375486,1015.1935275464763,20.64323693720587,sandy,9.0,9.0,0.0,6300.0,0.35795454545454547
125193,Maharashtra,AHMEDNAGAR,1997,Kharif     ,Bajra,274100.0,21.99829859717905,2.0005242602353746,1014.1846071220663,21.422312371835023,clay,0.0,0.0,0.0,152800.0,0.5574607807369573
125194,Maharashtra,AHMEDNAGAR,1997,Kharif     ,Gram,40800.0,21.776376624873148,2.0197497848360184,1015.0531183898158,21.810567239939786,chalky,38.25,38.25,38.25,18600.0,0.45588235294117646
125195,Maharashtra,AHMEDNAGAR,1997,Kharif     ,Jowar,900.0,20.075733613243596,1.974350686396939,1015.1702377521646,21.93020581768623,clay,0.0,23.184,0.0,1100.0,1.2222222222222223
125196,Maharashtra,AHMEDNAGAR,1997,Kharif     ,Maize,4400.0,21.642354457560394,2.0750656246889805,1015.7024823968762,21.57140299970625,sandy,5.64,14.664,14.664,4700.0,1.0681818181818181
125197,Maharashtra,AHMEDNAGAR,1997,Kharif     ,Moong(Green Gram),10200.0,21.199658310936755,2.0795519284043174,1013.8658619733957,20.833724845710837,peaty,41.7,111.2,55.6,900.0,0.08823529411764706
125198,Maharashtra,AHMEDNAGAR,1997,Kharif     ,Pulses total,451.0,21.366850540417992,2.078574323148445,1013.0514545568647,20.08436092944477,silty,7.476,7.476,0.0,130.0,0.28824833702882485
125199,Maharashtra,AHMEDNAGAR,1997,Kharif     ,Ragi,2600.0,21.87754219644463,2.0541992694218933,1014.9825416763426,21.64336323016081,silty,2.1,5.25,2.1,2100.0,0.8076923076923077
125200,Maharashtra,AHMEDNAGAR,1997,Kharif     ,Rice,5900.0,21.629675989313533,2.107639236138122,1014.724315150998,20.920125741346013,chalky,0.0,0.0,0.0,7200.0,1.2203389830508475
125201,Maharashtra,AHMEDNAGAR,1997,Kharif     ,Sugarcane,45900.0,20.66483198337277,2.107465936925857,1013.1640542264741,21.305363335276944,sandy,3.392,4.24,0.0,38940.0,0.8483660130718954
125202,Maharashtra,AHMEDNAGAR,1997,Kharif     ,Total foodgrain,3384.0,21.359742262775725,2.015673188875021,1014.1087970831886,20.17698696298257,silt,2.8,0.0,0.0,1836.0,0.5425531914893617
125203,Maharashtra,AHMEDNAGAR,1997,Kharif     ,Urad,1600.0,20.748237177435996,2.0355313378340556,1013.022821583441,21.79448250722055,chalky,2.898,2.898,0.0,800.0,0.5
125204,Maharashtra,AHMEDNAGAR,1997,Rabi       ,Jowar,598400.0,22.04171458178519,1.9875258648651084,1015.3319117180004,20.34949168543552,silt,0.0,0.0,0.0,217000.0,0.36263368983957217
125205,Maharashtra,AHMEDNAGAR,1997,Rabi       ,Maize,6200.0,21.96825261400342,1.9817659806253822,1014.0620031192152,20.638894168482594,silty,901.37,0.0,0.0,9100.0,1.467741935483871
125206,Maharashtra,AHMEDNAGAR,1997,Rabi       ,Other  Rabi pulses,60.0,20.883141143807652,2.0327538119928503,1014.9996263465156,20.2759098812953,chalky,7.704,19.688,0.0,3.0,0.05
125207,Maharashtra,AHMEDNAGAR,1997,Rabi       ,Wheat,79700.0,20.96546174984075,2.0799573051976528,1015.5867012489996,21.484026303346166,loamy,50.568,0.0,0.0,87100.0,1.0928481806775407
125208,Maharashtra,AHMEDNAGAR,1997,Summer     ,Maize,1100.0,21.75476209524235,2.108655048991076,1014.5039572741526,20.624977338876462,clay,8.22,8.22,0.0,1900.0,1.7272727272727273
125209,Maharashtra,AHMEDNAGAR,1997,Whole Year ,Cotton(lint),98.0,20.93328468733763,2.01136664163891,1015.4061961254394,20.815298725074623,loamy,0.465,0.465,0.465,17900.0,182.6530612244898
125210,Maharashtra,AHMEDNAGAR,1998,Kharif     ,Arhar/Tur,18800.0,20.69289748695272,2.087617873892397,1014.7398619392753,21.949998115944723,silty,38.25,38.25,38.25,9700.0,0.5159574468085106
125211,Maharashtra,AHMEDNAGAR,1998,Kharif     ,Bajra,302400.0,20.98883454210068,2.077557189579517,1014.9402414631863,20.615411701644902,clay,0.0,26.832,0.0,243900.0,0.8065476190476191
125212,Maharashtra,AHMEDNAGAR,1998,Kharif     ,Castor seed,400.0,20.831844556938787,1.9950488551064227,1014.6548889625296,21.513582463249502,silt,10.24,26.624,26.624,100.0,0.25
125213,Maharashtra,AHMEDNAGAR,1998,Kharif     ,Cotton(lint),12100.0,21.72103636996391,2.028014560803641,1013.7130740795774,20.73272954327136,chalky,41.496,110.656,55.328,19900.0,1.6446280991735538
125214,Maharashtra,AHMEDNAGAR,1998,Kharif     ,Groundnut,7100.0,20.124897203059213,2.07020757986379,1014.8566435037775,21.395917519325348,loamy,7.84,7.84,0.0,6200.0,0.8732394366197183
125215,Maharashtra,AHMEDNAGAR,1998,Kharif     ,Jowar,300.0,21.307443472795292,2.060792121726607,1015.437764129079,21.606701104082955,chalky,7.504,18.76,7.504,500.0,1.6666666666666667
125216,Maharashtra,AHMEDNAGAR,1998,Kharif     ,Maize,5800.0,22.028876864209508,2.0180882925227666,1014.8789678169398,20.593198167361514,loamy,0.0,0.0,0.0,12500.0,2.1551724137931036
125217,Maharashtra,AHMEDNAGAR,1998,Kharif     ,Moong(Green Gram),15600.0,20.894935982352894,2.1030146697740313,1014.6575799931168,21.12355933624472,clay,2.896,3.62,0.0,9100.0,0.5833333333333334
125218,Maharashtra,AHMEDNAGAR,1998,Kharif     ,Niger seed,2100.0,20.501140686888984,2.04221824008201,1015.9569194318024,21.269493286830528,chalky,3.15,0.0,0.0,900.0,0.42857142857142855
125219,Maharashtra,AHMEDNAGAR,1998,Kharif     ,Other Cereals & Millets,4100.0,22.023523707901543,2.0641508147229564,1015.3181247150692,21.270699489199824,chalky,3.45,3.45,0.0,2400.0,0.5853658536585366
125220,Maharashtra,AHMEDNAGAR,1998,Kharif     ,Other Kharif pulses,16800.0,22.0625062374513,2.0655266601301143,1013.1078652908827,20.4501390971511,silt,0.0,0.0,0.0,7000.0,0.4166666666666667
125221,Maharashtra,AHMEDNAGAR,1998,Kharif     ,Ragi,3000.0,20.180437615581017,2.1075796450392703,1014.3121871247257,20.839558182943772,chalky,902.566,0.0,0.0,2100.0,0.7
125222,Maharashtra,AHMEDNAGAR,1998,Kharif     ,Rice,5600.0,20.837657364636993,2.0698127593819624,1014.4438755076307,21.373318613339784,peaty,6.516,16.652,0.0,7400.0,1.3214285714285714
125223,Maharashtra,AHMEDNAGAR,1998,Kharif     ,Sesamum,900.0,20.512818638128955,1.9823670103122912,1013.9803049889123,21.550522895002143,peaty,59.22,0.0,0.0,300.0,0.3333333333333333
125224,Maharashtra,AHMEDNAGAR,1998,Kharif     ,Soyabean,4600.0,21.331250600563095,2.0429675118378734,1014.8246969551207,20.905794075885385,clay,7.68,7.68,0.0,5500.0,1.1956521739130435
125225,Maharashtra,AHMEDNAGAR,1998,Kharif     ,Sugarcane,59600.0,20.28478349331573,2.099276817147449,1014.5736219883485,22.02234536154529,peaty,3.255,3.255,3.255,5231800.0,87.78187919463087
125226,Maharashtra,AHMEDNAGAR,1998,Kharif     ,Sunflower,11500.0,20.355747421286857,2.0224069021274977,1015.2557969668948,21.619559282548394,loamy,38.25,38.25,38.25,3500.0,0.30434782608695654
125227,Maharashtra,AHMEDNAGAR,1998,Kharif     ,Urad,2800.0,21.65475118129495,2.0519122945918666,1015.2670412020653,21.49227718116852,sandy,0.0,28.048,0.0,1300.0,0.4642857142857143
125228,Maharashtra,AHMEDNAGAR,1998,Rabi       ,Gram,59600.0,21.58719632658273,2.0739244247437516,1013.802234390637,21.87219321185722,loamy,10.5,27.3,27.3,40900.0,0.6862416107382551
125229,Maharashtra,AHMEDNAGAR,1998,Rabi       ,Jowar,453200.0,21.672799040503914,2.0532453271984044,1014.4122726501812,20.44558271914275,chalky,39.72,105.92,52.96,227900.0,0.5028684907325685
125230,Maharashtra,AHMEDNAGAR,1998,Rabi       ,Linseed,1200.0,20.74429784158043,2.109696025277696,1013.3738472448166,21.660464222144377,silty,8.008,8.008,0.0,400.0,0.3333333333333333
125231,Maharashtra,AHMEDNAGAR,1998,Rabi       ,Maize,7900.0,20.805797400540047,2.1022086671358537,1014.5344574539619,21.318024629398206,peaty,5.824,14.56,5.824,12200.0,1.5443037974683544
125232,Maharashtra,AHMEDNAGAR,1998,Rabi       ,Other  Rabi pulses,500.0,21.793110468890305,2.0524101635835232,1013.6619850917193,21.799104812849627,chalky,0.0,0.0,0.0,300.0,0.6
125233,Maharashtra,AHMEDNAGAR,1998,Rabi       ,Other Cereals & Millets,3000.0,21.235248660854754,2.022478210443885,1014.1688400113194,20.64598381081465,clay,3.008,3.76,0.0,3700.0,1.2333333333333334
125234,Maharashtra,AHMEDNAGAR,1998,Rabi       ,Rapeseed &Mustard,200.0,20.206082216039576,2.053782080480831,1015.8884151094746,20.993666773498596,sandy,2.775,0.0,0.0,,
125235,Maharashtra,AHMEDNAGAR,1998,Rabi       ,Safflower,30000.0,21.84288192031048,2.0800663112831286,1014.5854537625482,20.56160255982793,silt,2.921,2.921,0.0,18500.0,0.6166666666666667
125236,Maharashtra,AHMEDNAGAR,1998,Rabi       ,Sesamum,400.0,21.096688378181597,2.022470808302387,1014.2583998391401,21.918102311443327,peaty,0.0,0.0,0.0,100.0,0.25
125237,Maharashtra,AHMEDNAGAR,1998,Rabi       ,Sunflower,9200.0,20.89787334405761,2.086103467358327,1014.7212892775618,20.560857713490176,sandy,928.372,0.0,0.0,5100.0,0.5543478260869565
125238,Maharashtra,AHMEDNAGAR,1998,Rabi       ,Wheat,124400.0,20.726797419627175,2.0172255749336783,1014.7887214437333,20.147434556575778,silty,6.93,17.71,0.0,154200.0,1.2395498392282958
125239,Maharashtra,AHMEDNAGAR,1998,Summer     ,Groundnut,15000.0,20.219148959866537,1.9983870610479433,1013.5131992227228,21.29564234290161,silt,52.08,0.0,0.0,25700.0,1.7133333333333334
125240,Maharashtra,AHMEDNAGAR,1998,Summer     ,Maize,1500.0,20.711242814482368,2.058628714336205,1014.2233351083445,21.084643890724863,silt,8.6,8.6,0.0,2300.0,1.5333333333333334
125241,Maharashtra,AHMEDNAGAR,1998,Summer     ,Sunflower,300.0,20.403789365882904,2.036187597813193,1013.8146681138611,20.737938777082338,loamy,2.16,2.16,2.16,200.0,0.6666666666666666
125242,Maharashtra,AHMEDNAGAR,1999,Kharif     ,Arhar/Tur,19000.0,20.273473073222213,2.0796546823593607,1015.582985915706,20.704390811841915,peaty,38.25,38.25,38.25,9900.0,0.5210526315789473
125243,Maharashtra,AHMEDNAGAR,1999,Kharif     ,Bajra,310600.0,20.28936322457424,2.018554408763318,1014.9446303695423,21.63442686054556,chalky,0.0,20.08,0.0,178300.0,0.5740502253702511
125244,Maharashtra,AHMEDNAGAR,1999,Kharif     ,Castor seed,700.0,20.675631092794696,2.035619845527181,1015.5409439234131,20.75371863010673,peaty,3.13,8.138,8.138,200.0,0.2857142857142857
125245,Maharashtra,AHMEDNAGAR,1999,Kharif     ,Cotton(lint),15000.0,20.530826832225483,2.106104398427652,1014.7982523772837,20.131365931339875,peaty,38.688,103.168,51.584,22600.0,1.5066666666666666
125246,Maharashtra,AHMEDNAGAR,1999,Kharif     ,Groundnut,7300.0,22.06184395440644,2.0199779092956653,1013.3826582191112,21.871173886187684,clay,7.588,7.588,0.0,5400.0,0.7397260273972602
125247,Maharashtra,AHMEDNAGAR,1999,Kharif     ,Jowar,800.0,20.543666451183675,2.0035021766285994,1015.7068396949612,20.26536200804007,silt,1.596,3.99,1.596,700.0,0.875
125248,Maharashtra,AHMEDNAGAR,1999,Kharif     ,Maize,6400.0,20.051686746158854,2.0600743249241114,1014.2942920351542,20.412761970637302,silt,0.0,0.0,0.0,9500.0,1.484375
125249,Maharashtra,AHMEDNAGAR,1999,Kharif     ,Moong(Green Gram),16800.0,20.881751219382856,2.033651023440021,1015.6520514933062,21.993158717675033,peaty,2.8,3.5,0.0,3700.0,0.22023809523809523
125250,Maharashtra,AHMEDNAGAR,1999,Kharif     ,Niger seed,2000.0,20.30892911737028,2.0740132203183768,1014.2458350726226,20.66832838273617,clay,2.525,0.0,0.0,500.0,0.25
125251,Maharashtra,AHMEDNAGAR,1999,Kharif     ,Other Kharif pulses,17400.0,21.309155751708396,1.986104542471908,1014.0344242139552,20.562067934470278,silt,3.91,3.91,0.0,5100.0,0.29310344827586204
